H3K4me1_chr1-3556 1_internal_22891
H3K4me1_chr3-92106 3_internal_13201
H3K4me1_chr3-92109 3_internal_17282
H3K4me1_chr3-92110 3_internal_17282
H3K4me1_chr3-92127 3_internal_12205
H3K4me1_chr3-92129 3_internal_14281
H3K4me1_chr3-92135 3_internal_11544
H3K4me1_chr3-92137 3_internal_11821
H3K4me1_chr3-92170 3_internal_13268
H3K4me1_chr3-92220 3_internal_16905
H3K4me1_chr3-92225 3_internal_12581
H3K4me1_chr3-92236 3_internal_12106
H3K4me1_chr3-92255 3_internal_17965
H3K4me1_chr3-92259 3_internal_17965
H3K4me1_chr3-92271 3_internal_13333
H3K4me1_chr3-92279 3_internal_13571
H3K4me1_chr3-92281 3_internal_15611
H3K4me1_chr3-92287 3_internal_13371
H3K4me1_chr3-92296 3_internal_17137
H3K4me1_chr3-92297 3_internal_12439
H3K4me1_chr3-92305 3_internal_11981
H3K4me1_chr3-92307 3_internal_11981
H3K4me1_chr3-92333 3_internal_15707
H3K4me1_chr3-92335 3_internal_15707
H3K4me1_chr3-92341 3_internal_11915
H3K4me1_chr3-92382 3_internal_17117
H3K4me1_chr3-92394 3_internal_13003
H3K4me1_chr3-92443 3_internal_13250
H3K4me1_chr3-92489 3_internal_12707
H3K4me1_chr3-92502 3_internal_11123
H3K4me1_chr3-92505 3_internal_12395
H3K4me1_chr3-92532 3_internal_18421
H3K4me1_chr3-92535 3_internal_14663
H3K4me1_chr3-92540 3_internal_13512
H3K4me1_chr3-92574 3_internal_16220
H3K4me1_chr3-92575 3_internal_16220
H3K4me1_chr3-92577 3_internal_16220
H3K4me1_chr3-92588 3_internal_15171
H3K4me1_chr3-92589 3_internal_15171
H3K4me1_chr3-92591 3_internal_12673
H3K4me1_chr3-92621 3_internal_16786
H3K4me1_chr3-92622 3_internal_16786
H3K4me1_chr3-92628 3_internal_11375
H3K4me1_chr3-92632 3_internal_12267
H3K4me1_chr3-92643 3_internal_13984
H3K4me1_chr3-92680 3_internal_11458
H3K4me1_chr3-92689 3_internal_16205
H3K4me1_chr3-92698 3_internal_15614
H3K4me1_chr3-92762 3_internal_12145
H3K4me1_chr3-92777 3_internal_11421
H3K4me1_chr3-92778 3_internal_11421
H3K4me1_chr3-92799 3_internal_14197
H3K4me1_chr3-92803 3_internal_11958
H3K4me1_chr3-92824 3_internal_10935
H3K4me1_chr3-92829 3_internal_13376
H3K4me1_chr3-92838 3_internal_15123
H3K4me1_chr3-92859 3_internal_16948
H3K4me1_chr3-92873 3_internal_15760
H3K4me1_chr3-92884 3_internal_12140
H3K4me1_chr3-92899 3_internal_18433
H3K4me1_chr3-92903 3_internal_18433
H3K4me1_chr3-92909 3_internal_15102
H3K4me1_chr3-92945 3_internal_11670
H3K4me1_chr3-92949 3_internal_14167
H3K4me1_chr3-92959 3_internal_16974
H3K4me1_chr3-92962 3_internal_12242
H3K4me1_chr3-92966 3_internal_12274
H3K4me1_chr3-92986 3_internal_11844
H3K4me1_chr3-93006 3_internal_16129
H3K4me1_chr3-93048 3_internal_13556
H3K4me1_chr3-93050 3_internal_13308
H3K4me1_chr3-93052 3_internal_17154
H3K4me1_chr3-93054 3_internal_15366
H3K4me1_chr3-93081 3_internal_15322
H3K4me1_chr3-93160 3_internal_15046
H3K4me1_chr3-93161 3_internal_15046
H3K4me1_chr3-93175 3_internal_12171
H3K4me1_chr3-93185 3_internal_11672
H3K4me1_chr3-93196 3_internal_18460
H3K4me1_chr3-93217 3_internal_11908
H3K4me1_chr3-93220 3_internal_15738
H3K4me1_chr3-93225 3_internal_14724
H3K4me1_chr3-93232 3_internal_11645
H3K4me1_chr3-93277 3_internal_12555
H3K4me1_chr3-93295 3_internal_16437
H3K4me1_chr3-93318 3_internal_11730
H3K4me1_chr3-93342 3_internal_12366
H3K4me1_chr3-93345 3_internal_12454
H3K4me1_chr3-93354 3_internal_16434
H3K4me1_chr3-93355 3_internal_16434
H3K4me1_chr3-93356 3_internal_16434
H3K4me1_chr3-93371 3_internal_16037
H3K4me1_chr3-93374 3_internal_13445
H3K4me1_chr3-93380 3_internal_12498
H3K4me1_chr3-93419 3_internal_13454
H3K4me1_chr3-93424 3_internal_15152
H3K4me1_chr3-93426 3_internal_14676
H3K4me1_chr3-93433 3_internal_12542
H3K4me1_chr3-93444 3_internal_12375
H3K4me1_chr3-93453 3_internal_16623
H3K4me1_chr3-93468 3_internal_12009
H3K4me1_chr3-93471 3_internal_13201
H3K4me1_chr3-93478 3_internal_17282
H3K4me1_chr3-93481 3_internal_11525
H3K4me1_chr3-93552 3_internal_12053
H3K4me1_chr3-93584 3_internal_12153
H3K4me1_chr3-93598 3_internal_12429
H3K4me1_chr3-93599 3_internal_11897
H3K4me1_chr3-93604 3_internal_16905
H3K4me1_chr3-93606 3_internal_16905
H3K4me1_chr3-93629 3_internal_17675
H3K4me1_chr3-93638 3_internal_15973
H3K4me1_chr3-93654 3_internal_17965
H3K4me1_chr3-93658 3_internal_14539
H3K4me1_chr3-93659 3_internal_14539
H3K4me1_chr3-93674 3_internal_14692
H3K4me1_chr3-93691 3_internal_13371
H3K4me1_chr3-93696 3_internal_10762
H3K4me1_chr3-93732 3_internal_14982
H3K4me1_chr3-93734 3_internal_14982
H3K4me1_chr3-93739 3_internal_12397
H3K4me1_chr3-93745 3_internal_15697
H3K4me1_chr3-93746 3_internal_13137
H3K4me1_chr3-93766 3_internal_13363
H3K4me1_chr3-93769 3_internal_14419
H3K4me1_chr3-93774 3_internal_13281
H3K4me1_chr3-93775 3_internal_14967
H3K4me1_chr3-93783 3_internal_17117
H3K4me1_chr3-93803 3_internal_11044
H3K4me1_chr3-93814 3_internal_11694
H3K4me1_chr3-93829 3_internal_15372
H3K4me1_chr3-93833 3_internal_10897
H3K4me1_chr3-93844 3_internal_12500
H3K4me1_chr3-93871 3_internal_12551
H3K4me1_chr3-93872 3_internal_12551
H3K4me1_chr3-93914 3_internal_15473
H3K4me1_chr3-93918 3_internal_11924
H3K4me1_chr3-93925 3_internal_17256
H3K4me1_chr3-93926 3_internal_17256
H3K4me1_chr3-93931 3_internal_12385
H3K4me1_chr3-93932 3_internal_12385
H3K4me1_chr3-93933 3_internal_12385
H3K4me1_chr3-93949 3_internal_13074
H3K4me1_chr3-93954 3_internal_17722
H3K4me1_chr3-93965 3_internal_13990
H3K4me1_chr3-93968 3_internal_13990
H3K4me1_chr3-93969 3_internal_15127
H3K4me1_chr3-94049 3_internal_15399
H3K4me1_chr3-94051 3_internal_11949
H3K4me1_chr3-94078 3_internal_11458
H3K4me1_chr3-94091 3_internal_13258
H3K4me1_chr3-94147 3_internal_15890
H3K4me1_chr3-94177 3_internal_12138
H3K4me1_chr3-94179 3_internal_12726
H3K4me1_chr3-94180 3_internal_16723
H3K4me1_chr3-94191 3_internal_10831
H3K4me1_chr3-94223 3_internal_16217
H3K4me1_chr3-94235 3_internal_15123
H3K4me1_chr3-94255 3_internal_16948
H3K4me1_chr3-94294 3_internal_18433
H3K4me1_chr3-94298 3_internal_18433
H3K4me1_chr3-94299 3_internal_18433
H3K4me1_chr3-94300 3_internal_18433
H3K4me1_chr3-94360 3_internal_16974
H3K4me1_chr3-94364 3_internal_16924
H3K4me1_chr3-94382 3_internal_12917
H3K4me1_chr3-94396 3_internal_16129
H3K4me1_chr3-94399 3_internal_16129
H3K4me1_chr3-94402 3_internal_11291
H3K4me1_chr3-94421 3_internal_12468
H3K4me1_chr3-94434 3_internal_13308
H3K4me1_chr3-94441 3_internal_14195
H3K4me1_chr3-94461 3_internal_15404
H3K4me1_chr3-94472 3_internal_15322
H3K4me1_chr3-94485 3_internal_13779
H3K4me1_chr3-94498 3_internal_12733
H3K4me1_chr3-94503 3_internal_11859
H3K4me1_chr3-94510 3_internal_13338
H3K4me1_chr3-94517 3_internal_16559
H3K4me1_chr3-94533 3_internal_17506
H3K4me1_chr3-94537 3_internal_12302
H3K4me1_chr3-94545 3_internal_15046
H3K4me1_chr3-94556 3_internal_14010
H3K4me1_chr3-94584 3_internal_12345
H3K4me1_chr3-94586 3_internal_11732
H3K4me1_chr3-94587 3_internal_17132
H3K4me1_chr3-94591 3_internal_15738
H3K4me1_chr3-94600 3_internal_17794
H3K4me1_chr3-94621 3_internal_12750
H3K4me1_chr3-94622 3_internal_11565
H3K4me1_chr3-94623 3_internal_12025
H3K4me1_chr3-94660 3_internal_16437
H3K4me1_chr3-94698 3_internal_14247
H3K4me1_chr3-94713 3_internal_15028
H3K4me1_chr3-94714 3_internal_12505
H3K4me1_chr3-94723 3_internal_12454
H3K4me1_chr3-94733 3_internal_13405
H3K4me1_chr3-94741 3_internal_16434
H3K4me1_chr3-94746 3_internal_14331
H3K4me1_chr3-94767 3_internal_11269
H3K4me1_chr3-94782 3_internal_12418
H3K4me1_chr3-94802 3_internal_12655
H3K4me1_chr3-94804 3_internal_11956
H3K4me1_chr3-94807 3_internal_13454
H3K4me1_chr3-94812 3_internal_10828
H3K4me1_chr3-94843 3_internal_16623
H3K4me1_chr3-94861 3_internal_11521
H3K4me1_chr3-94923 3_internal_12250
H3K4me1_chr3-95015 3_internal_11909
H3K4me1_chr3-95018 3_internal_17675
H3K4me1_chr3-95030 3_internal_13641
H3K4me1_chr3-95031 3_internal_15973
H3K4me1_chr3-95057 3_internal_13333
H3K4me1_chr3-95061 3_internal_13571
H3K4me1_chr3-95062 3_internal_13571
H3K4me1_chr3-95064 3_internal_17420
H3K4me1_chr3-95065 3_internal_17420
H3K4me1_chr3-95069 3_internal_16503
H3K4me1_chr3-95084 3_internal_17137
H3K4me1_chr3-95086 3_internal_17185
H3K4me1_chr3-95099 3_internal_12742
H3K4me1_chr3-95124 3_internal_17091
H3K4me1_chr3-95136 3_internal_12045
H3K4me1_chr3-95149 3_internal_16551
H3K4me1_chr3-95150 3_internal_17785
H3K4me1_chr3-95169 3_internal_17117
H3K4me1_chr3-95173 3_internal_14382
H3K4me1_chr3-95176 3_internal_14096
H3K4me1_chr3-95181 3_internal_16573
H3K4me1_chr3-95188 3_internal_12806
H3K4me1_chr3-95193 3_internal_17397
H3K4me1_chr3-95206 3_internal_12320
H3K4me1_chr3-95224 3_internal_12636
H3K4me1_chr3-95258 3_internal_16074
H3K4me1_chr3-95260 3_internal_14538
H3K4me1_chr3-95263 3_internal_14132
H3K4me1_chr3-95265 3_internal_15982
H3K4me1_chr3-95288 3_internal_11123
H3K4me1_chr3-95302 3_internal_17256
H3K4me1_chr3-95303 3_internal_17256
H3K4me1_chr3-95307 3_internal_14589
H3K4me1_chr3-95310 3_internal_18421
H3K4me1_chr3-95313 3_internal_18421
H3K4me1_chr3-95316 3_internal_18421
H3K4me1_chr3-95317 3_internal_16832
H3K4me1_chr3-95326 3_internal_14668
H3K4me1_chr3-95328 3_internal_13074
H3K4me1_chr3-95337 3_internal_17722
H3K4me1_chr3-95349 3_internal_15127
H3K4me1_chr3-95359 3_internal_13724
H3K4me1_chr3-95370 3_internal_16220
H3K4me1_chr3-95371 3_internal_16220
H3K4me1_chr3-95372 3_internal_12735
H3K4me1_chr3-95385 3_internal_12673
H3K4me1_chr3-95420 3_internal_11151
H3K4me1_chr3-95421 3_internal_13506
H3K4me1_chr3-95424 3_internal_16061
H3K4me1_chr3-95430 3_internal_15399
H3K4me1_chr3-95469 3_internal_12676
H3K4me1_chr3-95473 3_internal_12174
H3K4me1_chr3-95494 3_internal_13264
H3K4me1_chr3-95580 3_internal_11595
H3K4me1_chr3-95591 3_internal_11082
H3K4me1_chr3-95608 3_internal_13682
H3K4me1_chr3-95612 3_internal_14223
H3K4me1_chr3-95650 3_internal_12493
H3K4me1_chr3-95653 3_internal_15123
H3K4me1_chr3-95684 3_internal_15124
H3K4me1_chr3-95686 3_internal_12140
H3K4me1_chr3-95704 3_internal_18433
H3K4me1_chr3-95752 3_internal_16974
H3K4me1_chr3-95757 3_internal_16974
H3K4me1_chr3-95758 3_internal_16974
H3K4me1_chr3-95765 3_internal_16924
H3K4me1_chr3-95776 3_internal_15874
H3K4me1_chr3-95821 3_internal_11969
H3K4me1_chr3-95853 3_internal_12225
H3K4me1_chr3-95854 3_internal_13369
H3K4me1_chr3-95856 3_internal_12473
H3K4me1_chr3-95875 3_internal_15322
H3K4me1_chr3-95937 3_internal_17506
H3K4me1_chr3-95940 3_internal_17506
H3K4me1_chr3-95972 3_internal_12580
H3K4me1_chr3-95991 3_internal_12424
H3K4me1_chr3-95992 3_internal_12644
H3K4me1_chr3-96010 3_internal_13554
H3K4me1_chr3-96037 3_internal_17794
H3K4me1_chr3-96081 3_internal_15597
H3K4me1_chr3-96117 3_internal_12469
H3K4me1_chr3-96120 3_internal_12505
H3K4me1_chr3-96121 3_internal_12505
H3K4me1_chr3-96126 3_internal_13609
H3K4me1_chr3-96131 3_internal_12951
H3K4me1_chr3-96133 3_internal_15061
H3K4me1_chr3-96139 3_internal_12075
H3K4me1_chr3-96142 3_internal_16434
H3K4me1_chr3-96143 3_internal_16434
H3K4me1_chr3-96153 3_internal_14331
H3K4me1_chr3-96154 3_internal_16037
H3K4me1_chr3-96158 3_internal_13445
H3K4me1_chr3-96186 3_internal_14502
H3K4me1_chr3-96203 3_internal_14631
H3K4me1_chr3-96213 3_internal_16991
H3K4me1_chr3-96215 3_internal_11956
H3K4me1_chr3-96223 3_internal_15152
H3K4me1_chr3-96230 3_internal_12542
H3K4me1_chr3-96238 3_internal_12059
H3K4me1_chr3-96245 3_internal_11738
H3K4me1_chr3-96264 3_internal_16284
H3K4me1_chr3-96267 3_internal_11521
H3K4me1_chr3-96282 3_internal_17008
H3K4me1_chr3-96296 3_internal_12246
H3K4me1_chr3-96308 3_internal_13150
H3K4me1_chr3-96309 3_internal_13150
H3K4me1_chr3-96313 3_internal_11544
H3K4me1_chr3-96330 3_internal_15419
H3K4me1_chr3-96352 3_internal_13268
H3K4me1_chr3-96365 3_internal_15485
H3K4me1_chr3-96405 3_internal_11786
H3K4me1_chr3-96409 3_internal_16905
H3K4me1_chr3-96424 3_internal_11628
H3K4me1_chr3-96432 3_internal_15973
H3K4me1_chr3-96449 3_internal_12736
H3K4me1_chr3-96464 3_internal_17420
H3K4me1_chr3-96467 3_internal_15611
H3K4me1_chr3-96468 3_internal_16503
H3K4me1_chr3-96520 3_internal_14982
H3K4me1_chr3-96526 3_internal_15707
H3K4me1_chr3-96527 3_internal_15707
H3K4me1_chr3-96529 3_internal_15729
H3K4me1_chr3-96555 3_internal_11779
H3K4me1_chr3-96558 3_internal_17091
H3K4me1_chr3-96559 3_internal_14135
H3K4me1_chr3-96563 3_internal_12045
H3K4me1_chr3-96570 3_internal_14066
H3K4me1_chr3-96579 3_internal_16551
H3K4me1_chr3-96581 3_internal_12621
H3K4me1_chr3-96583 3_internal_12621
H3K4me1_chr3-96592 3_internal_12852
H3K4me1_chr3-96605 3_internal_14382
H3K4me1_chr3-96611 3_internal_16474
H3K4me1_chr3-96621 3_internal_17397
H3K4me1_chr3-96630 3_internal_12320
H3K4me1_chr3-96654 3_internal_13250
H3K4me1_chr3-96665 3_internal_12152
H3K4me1_chr3-96666 3_internal_12782
H3K4me1_chr3-96678 3_internal_16074
H3K4me1_chr3-96683 3_internal_16074
H3K4me1_chr3-96684 3_internal_16074
H3K4me1_chr3-96686 3_internal_12182
H3K4me1_chr3-96687 3_internal_12182
H3K4me1_chr3-96692 3_internal_14538
H3K4me1_chr3-96741 3_internal_11711
H3K4me1_chr3-96750 3_internal_17256
H3K4me1_chr3-96758 3_internal_16832
H3K4me1_chr3-96763 3_internal_14663
H3K4me1_chr3-96795 3_internal_13990
H3K4me1_chr3-96803 3_internal_13889
H3K4me1_chr3-96815 3_internal_13143
H3K4me1_chr3-96819 3_internal_13143
H3K4me1_chr3-96836 3_internal_15171
H3K4me1_chr3-96849 3_internal_12520
H3K4me1_chr3-96852 3_internal_15766
H3K4me1_chr3-96864 3_internal_16786
H3K4me1_chr3-96866 3_internal_11375
H3K4me1_chr3-96903 3_internal_17161
H3K4me1_chr3-96904 3_internal_12724
H3K4me1_chr3-96922 3_internal_17222
H3K4me1_chr3-96925 3_internal_12174
H3K4me1_chr3-96929 3_internal_16205
H3K4me1_chr3-96932 3_internal_16205
H3K4me1_chr3-96940 3_internal_15471
H3K4me1_chr3-96941 3_internal_13258
H3K4me1_chr3-96945 3_internal_16967
H3K4me1_chr3-97002 3_internal_15890
H3K4me1_chr3-97024 3_internal_11855
H3K4me1_chr3-97025 3_internal_11855
H3K4me1_chr3-97026 3_internal_12726
H3K4me1_chr3-97030 3_internal_16723
H3K4me1_chr3-97077 3_internal_10935
H3K4me1_chr3-97082 3_internal_12107
H3K4me1_chr3-97099 3_internal_15123
H3K4me1_chr3-97113 3_internal_11238
H3K4me1_chr3-97126 3_internal_16948
H3K4me1_chr3-97145 3_internal_15124
H3K4me1_chr3-97147 3_internal_15124
H3K4me1_chr3-97164 3_internal_12983
H3K4me1_chr3-97169 3_internal_18433
H3K4me1_chr3-97172 3_internal_11837
H3K4me1_chr3-97173 3_internal_15102
H3K4me1_chr3-97222 3_internal_12008
H3K4me1_chr3-97242 3_internal_15874
H3K4me1_chr3-97251 3_internal_15651
H3K4me1_chr3-97252 3_internal_15651
H3K4me1_chr3-97275 3_internal_12797
H3K4me1_chr3-97276 3_internal_12797
H3K4me1_chr3-97283 3_internal_16129
H3K4me1_chr3-97315 3_internal_16616
H3K4me1_chr3-97319 3_internal_14195
H3K4me1_chr3-97325 3_internal_14158
H3K4me1_chr3-97353 3_internal_14913
H3K4me1_chr3-97373 3_internal_11860
H3K4me1_chr3-97381 3_internal_12314
H3K4me1_chr3-97391 3_internal_15358
H3K4me1_chr3-97433 3_internal_15046
H3K4me1_chr3-97435 3_internal_14828
H3K4me1_chr3-97443 3_internal_14010
H3K4me1_chr3-97444 3_internal_14010
H3K4me1_chr3-97462 3_internal_15116
H3K4me1_chr3-97469 3_internal_12747
H3K4me1_chr3-97475 3_internal_11724
H3K4me1_chr3-97487 3_internal_17132
H3K4me1_chr3-97517 3_internal_14740
H3K4me1_chr3-97525 3_internal_12421
H3K4me1_chr3-97527 3_internal_17266
H3K4me1_chr3-97540 3_internal_11281
H3K4me1_chr3-97542 3_internal_11281
H3K4me1_chr3-97592 3_internal_14371
H3K4me1_chr3-97617 3_internal_12505
H3K4me1_chr3-97632 3_internal_12454
H3K4me1_chr3-97634 3_internal_15061
H3K4me1_chr3-97640 3_internal_16434
H3K4me1_chr3-97641 3_internal_16434
H3K4me1_chr3-97644 3_internal_16434
H3K4me1_chr3-97652 3_internal_14331
H3K4me1_chr3-97656 3_internal_11107
H3K4me1_chr3-97688 3_internal_12418
H3K4me1_chr3-97695 3_internal_12418
H3K4me1_chr3-97734 3_internal_16921
H3K4me1_chr3-97745 3_internal_11556
H3K4me1_chr3-97752 3_internal_16623
H3K4me1_chr3-97770 3_internal_17282
H3K4me1_chr3-97775 3_internal_17008
H3K4me1_chr3-97803 3_internal_11821
H3K4me1_chr3-97804 3_internal_11821
H3K4me1_chr3-97819 3_internal_16604
H3K4me1_chr3-97846 3_internal_14641
H3K4me1_chr3-97847 3_internal_13268
H3K4me1_chr3-97866 3_internal_11918
H3K4me1_chr3-97881 3_internal_16025
H3K4me1_chr3-97887 3_internal_11786
H3K4me1_chr3-97894 3_internal_16905
H3K4me1_chr3-97898 3_internal_13045
H3K4me1_chr3-97900 3_internal_11486
H3K4me1_chr3-97918 3_internal_17675
H3K4me1_chr3-97921 3_internal_17675
H3K4me1_chr3-97929 3_internal_15973
H3K4me1_chr3-97932 3_internal_13466
H3K4me1_chr3-97952 3_internal_14692
H3K4me1_chr3-97959 3_internal_15611
H3K4me1_chr3-97993 3_internal_11981
H3K4me1_chr3-97996 3_internal_17870
H3K4me1_chr3-98012 3_internal_15788
H3K4me1_chr3-98013 3_internal_15707
H3K4me1_chr3-98015 3_internal_15707
H3K4me1_chr3-98039 3_internal_17091
H3K4me1_chr3-98063 3_internal_14449
H3K4me1_chr3-98068 3_internal_12621
H3K4me1_chr3-98082 3_internal_12590
H3K4me1_chr3-98097 3_internal_13003
H3K4me1_chr3-98102 3_internal_16573
H3K4me1_chr3-98106 3_internal_11785
H3K4me1_chr3-98110 3_internal_12806
H3K4me1_chr3-98145 3_internal_10897
H3K4me1_chr3-98160 3_internal_15458
H3K4me1_chr3-98166 3_internal_15577
H3K4me1_chr3-98170 3_internal_16074
H3K4me1_chr3-98194 3_internal_11514
H3K4me1_chr3-98198 3_internal_12277
H3K4me1_chr3-98213 3_internal_15284
H3K4me1_chr3-98214 3_internal_15284
H3K4me1_chr3-98224 3_internal_12385
H3K4me1_chr3-98225 3_internal_12385
H3K4me1_chr3-98227 3_internal_12385
H3K4me1_chr3-98228 3_internal_12385
H3K4me1_chr3-98232 3_internal_16832
H3K4me1_chr3-98243 3_internal_17146
H3K4me1_chr3-98248 3_internal_11741
H3K4me1_chr3-98253 3_internal_13512
H3K4me1_chr3-98273 3_internal_15127
H3K4me1_chr3-98274 3_internal_15127
H3K4me1_chr3-98285 3_internal_13143
H3K4me1_chr3-98287 3_internal_12568
H3K4me1_chr3-98293 3_internal_16220
H3K4me1_chr3-98298 3_internal_16220
H3K4me1_chr3-98321 3_internal_15766
H3K4me1_chr3-98340 3_internal_13336
H3K4me1_chr3-98385 3_internal_16561
H3K4me1_chr3-98388 3_internal_17222
H3K4me1_chr3-98392 3_internal_16205
H3K4me1_chr3-98396 3_internal_13258
H3K4me1_chr3-98401 3_internal_16967
H3K4me1_chr3-98450 3_internal_10883
H3K4me1_chr3-98481 3_internal_14332
H3K4me1_chr3-98503 3_internal_14223
H3K4me1_chr3-98506 3_internal_14223
H3K4me1_chr3-98528 3_internal_16217
H3K4me1_chr3-98548 3_internal_12701
H3K4me1_chr3-98552 3_internal_15123
H3K4me1_chr3-98560 3_internal_15435
H3K4me1_chr3-98574 3_internal_16948
H3K4me1_chr3-98601 3_internal_15124
H3K4me1_chr3-98603 3_internal_15124
H3K4me1_chr3-98605 3_internal_15124
H3K4me1_chr3-98621 3_internal_18433
H3K4me1_chr3-98623 3_internal_11883
H3K4me1_chr3-98624 3_internal_15102
H3K4me1_chr3-98639 3_internal_14188
H3K4me1_chr3-98675 3_internal_16974
H3K4me1_chr3-98676 3_internal_16974
H3K4me1_chr3-98677 3_internal_16974
H3K4me1_chr3-98681 3_internal_12242
H3K4me1_chr3-98687 3_internal_16924
H3K4me1_chr3-98708 3_internal_13253
H3K4me1_chr3-98734 3_internal_13018
H3K4me1_chr3-98736 3_internal_11969
H3K4me1_chr3-98750 3_internal_12468
H3K4me1_chr3-98761 3_internal_17154
H3K4me1_chr3-98767 3_internal_14195
H3K4me1_chr3-98788 3_internal_15404
H3K4me1_chr3-98793 3_internal_12793
H3K4me1_chr3-98797 3_internal_15322
H3K4me1_chr3-98799 3_internal_14913
H3K4me1_chr3-98820 3_internal_12136
H3K4me1_chr3-98836 3_internal_11859
H3K4me1_chr3-98860 3_internal_16894
H3K4me1_chr3-98892 3_internal_15046
H3K4me1_chr3-98902 3_internal_12580
H3K4me1_chr3-98910 3_internal_13909
H3K4me1_chr3-98925 3_internal_10823
H3K4me1_chr3-98938 3_internal_11687
H3K4me1_chr3-98939 3_internal_18460
H3K4me1_chr3-98950 3_internal_13455
H3K4me1_chr3-98959 3_internal_11908
H3K4me1_chr3-98967 3_internal_16836
H3K4me1_chr3-98974 3_internal_11645
H3K4me1_chr3-99004 3_internal_11399
H3K4me1_chr3-99005 3_internal_11281
H3K4me1_chr3-99007 3_internal_13523
H3K4me1_chr3-99032 3_internal_16437
H3K4me1_chr3-99047 3_internal_13980
H3K4me1_chr3-99069 3_internal_11730
H3K4me1_chr3-99086 3_internal_12469
H3K4me1_chr3-99097 3_internal_13609
H3K4me1_chr3-99104 3_internal_12366
H3K4me1_chr3-99109 3_internal_12951
H3K4me1_chr3-99113 3_internal_15061
H3K4me1_chr3-99129 3_internal_16434
H3K4me1_chr3-99131 3_internal_16434
H3K4me1_chr3-99133 3_internal_16434
H3K4me1_chr3-99141 3_internal_14331
H3K4me1_chr3-99143 3_internal_14331
H3K4me1_chr3-99144 3_internal_15199
H3K4me1_chr3-99151 3_internal_11107
H3K4me1_chr3-99156 3_internal_12657
H3K4me1_chr3-99157 3_internal_12657
H3K4me1_chr3-99162 3_internal_12098
H3K4me1_chr3-99177 3_internal_12185
H3K4me1_chr3-99227 3_internal_14461
H3K4me1_chr3-99229 3_internal_12542
H3K4me1_chr3-99244 3_internal_13922
H3K4me1_chr3-99287 3_internal_17282
H3K4me1_chr3-99311 3_internal_14281
H3K4me1_chr3-99319 3_internal_13000
H3K4me1_chr3-99321 3_internal_12066
H3K4me1_chr3-99338 3_internal_13594
H3K4me1_chr3-99358 3_internal_14641
H3K4me1_chr3-99374 3_internal_11918
H3K4me1_chr3-99377 3_internal_15136
H3K4me1_chr3-99389 3_internal_12153
H3K4me1_chr3-99409 3_internal_16905
H3K4me1_chr3-99425 3_internal_12629
H3K4me1_chr3-99475 3_internal_13571
H3K4me1_chr3-99480 3_internal_12382
H3K4me1_chr3-99507 3_internal_17870
H3K4me1_chr3-99508 3_internal_17870
H3K4me1_chr3-99545 3_internal_13442
H3K4me1_chr3-99555 3_internal_11779
H3K4me1_chr3-99559 3_internal_13257
H3K4me1_chr3-99562 3_internal_11053
H3K4me1_chr3-99571 3_internal_16730
H3K4me1_chr3-99575 3_internal_13363
H3K4me1_chr3-99578 3_internal_14419
H3K4me1_chr3-99593 3_internal_14664
H3K4me1_chr3-99597 3_internal_12852
H3K4me1_chr3-99615 3_internal_13869
H3K4me1_chr3-99618 3_internal_16474
H3K4me1_chr3-99635 3_internal_17397
H3K4me1_chr3-99641 3_internal_17397
H3K4me1_chr3-99658 3_internal_12300
H3K4me1_chr3-99689 3_internal_13250
H3K4me1_chr3-99755 3_internal_11514
H3K4me1_chr3-99760 3_internal_12615
H3K4me1_chr3-99775 3_internal_17256
H3K4me1_chr3-99776 3_internal_17256
H3K4me1_chr3-99785 3_internal_18421
H3K4me1_chr3-99789 3_internal_12567
H3K4me1_chr3-99802 3_internal_13512
H3K4me1_chr3-99810 3_internal_13990
H3K4me1_chr3-99825 3_internal_12568
H3K4me1_chr3-99832 3_internal_16220
H3K4me1_chr3-99838 3_internal_15171
H3K4me1_chr3-99854 3_internal_12374
H3K4me1_chr3-99877 3_internal_16061
H3K4me1_chr3-99881 3_internal_11192
H3K4me1_chr3-99890 3_internal_11949
H3K4me1_chr3-99893 3_internal_12213
H3K4me1_chr3-99909 3_internal_12575
H3K4me1_chr3-99936 3_internal_11458
H3K4me1_chr3-99950 3_internal_15471
H3K4me1_chr3-99952 3_internal_13264
H3K4me1_chr3-99976 3_internal_14879
H3K4me1_chr3-99984 3_internal_12011
H3K4me1_chr3-100026 3_internal_12145
H3K4me1_chr3-100055 3_internal_14223
H3K4me1_chr3-100057 3_internal_14719
H3K4me1_chr3-100098 3_internal_11448
H3K4me1_chr3-100105 3_internal_12493
H3K4me1_chr3-100106 3_internal_15123
H3K4me1_chr3-100124 3_internal_16948
H3K4me1_chr3-100127 3_internal_16948
H3K4me1_chr3-100149 3_internal_15124
H3K4me1_chr3-100154 3_internal_12140
H3K4me1_chr3-100224 3_internal_16974
H3K4me1_chr3-100228 3_internal_16974
H3K4me1_chr3-100233 3_internal_16924
H3K4me1_chr3-100238 3_internal_12274
H3K4me1_chr3-100241 3_internal_16383
H3K4me1_chr3-100273 3_internal_12988
H3K4me1_chr3-100281 3_internal_16129
H3K4me1_chr3-100287 3_internal_15963
H3K4me1_chr3-100304 3_internal_12822
H3K4me1_chr3-100306 3_internal_17242
H3K4me1_chr3-100326 3_internal_17154
H3K4me1_chr3-100329 3_internal_14158
H3K4me1_chr3-100337 3_internal_12225
